[2025-03-07 17:36:33.272276] [2130] [info] Event type: bash_set_signal, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272277] [2130] [info] Event type: file_delete, amount: 15, rate: 0.00417869042678631 per second
[2025-03-07 17:36:33.272278] [2130] [info] Event type: umount, amount: 156, rate: 0.047283741407376206 per second
[2025-03-07 17:36:33.272279] [2130] [info] Event type: disarm_kprobes, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272280] [2130] [info] Event type: pam_login, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272281] [2130] [info] Event type: file_chown, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272282] [2130] [info] Event type: setuid_root, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272283] [2130] [info] Event type: ransomware_fs_activity, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272284] [2130] [info] Event type: chdir, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272285] [2130] [info] Event type: shell_unset_env, amount: 82, rate: 0.02495102327468514 per second
[2025-03-07 17:36:33.272286] [2130] [info] Event type: system_call_hook, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272287] [2130] [info] Event type: file_scanned, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272353] [2130] [info] Event type: kernel_module_load, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272355] [2130] [info] Event type: agent_kill_attempt, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272356] [2130] [info] Event type: file_close_write, amount: 1136, rate: 0.31583438272809344 per second
[2025-03-07 17:36:33.272357] [2130] [info] Event type: unshare, amount: 36, rate: 0.010911624343525663 per second
[2025-03-07 17:36:33.272368] [2130] [info] Event type: dns, amount: 94, rate: 0.02769916935922156 per second
[2025-03-07 17:36:33.272370] [2130] [info] Event type: local_brute_force_attempt, amount: 0, rate: 0 per second
[2025-03-07 17:36:33.272372] [2130] [info] Overall amount: 4431, rate: 1.2319139734393978 per second
[2025-03-07 18:36:33.271708] [2130] [info] --- Events Metadata ---
[2025-03-07 18:36:33.271758] [2130] [info] Top events by path:
[2025-03-07 18:36:33.271798] [2130] [info] Destination path: /var/ossec/var/run/, amount: 2940, rate: -1.6890217023639292e-06 per second
[2025-03-07 18:36:33.271800] [2130] [info] Destination path: /var/ossec/var/, amount: 2940, rate: -1.6890217023639292e-06 per second
[2025-03-07 18:36:33.271802] [2130] [info] Destination path: /var/ossec/var/run/wazuh-agentd.state.temp, amount: 2160, rate: 0.600800805545916 per second
[2025-03-07 18:36:33.271803] [2130] [info] Destination path: /var/ossec/var/run/wazuh-agentd.state, amount: 720, rate: 0.20026379662853486 per second
[2025-03-07 18:36:33.271804] [2130] [info] Destination path: /sys/fs/cgroup/, amount: 210, rate: 0.0636510962842365 per second
[2025-03-07 18:36:33.271805] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/, amount: 210, rate: 0.0636510962842365 per second
[2025-03-07 18:36:33.271806] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/, amount: 180, rate: 0.054558082529345575 per second
[2025-03-07 18:36:33.271807] [2130] [info] Destination path: /run/systemd/journal/streams/, amount: 70, rate: 0.019500507804633818 per second
[2025-03-07 18:36:33.271808] [2130] [info] Destination path: /run/systemd/journal/, amount: 70, rate: 0.019500507804633818 per second
[2025-03-07 18:36:33.271809] [2130] [info] Destination path: /var/ossec/var/run/wazuh-logcollector.state, amount: 60, rate: 0.016945322853148294 per second
[2025-03-07 18:36:33.271810] [2130] [info] Destination path: /sys/devices/system/cpu/online, amount: 59, rate: 0.016666677875713753 per second
[2025-03-07 18:36:33.271811] [2130] [info] Destination path: /sys/devices/system/, amount: 59, rate: 0.016666677875713753 per second
[2025-03-07 18:36:33.271812] [2130] [info] Destination path: /sys/devices/system/cpu/, amount: 59, rate: 0.016666677875713753 per second
[2025-03-07 18:36:33.271813] [2130] [info] Destination path: /var/ossec/queue/logcollector/file_status.json, amount: 56, rate: 0.015909092776529143 per second
[2025-03-07 18:36:33.271814] [2130] [info] Destination path: /var/ossec/queue/logcollector/, amount: 56, rate: 0.015909092776529143 per second
[2025-03-07 18:36:33.271815] [2130] [info] Destination path: /etc/passwd, amount: 39, rate: 0.011881385642061239 per second
[2025-03-07 18:36:33.271816] [2130] [info] Destination path: /var/ossec/logs/ossec.log, amount: 38, rate: 0.010795453066281194 per second
[2025-03-07 18:36:33.271817] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/cgroup.procs, amount: 24, rate: 0.007274425253445348 per second
[2025-03-07 18:36:33.271819] [2130] [info] Destination path: /etc/hosts, amount: 14, rate: 0.0042424270118805955 per second
[2025-03-07 18:36:33.271820] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/cpu.idle, amount: 12, rate: 0.0036372143793432614 per second
[2025-03-07 18:36:33.271821] [2130] [info] Top binaries:
[2025-03-07 18:36:33.271834] [2130] [info] Source path: /var/ossec/bin/wazuh-agentd, amount: 2198, rate: 0.6113704493471867 per second
[2025-03-07 18:36:33.271835] [2130] [info] Source path: /usr/lib/systemd/systemd, amount: 800, rate: 0.2424791995042086 per second
[2025-03-07 18:36:33.271836] [2130] [info] Source path: /usr/bin/bash, amount: 331, rate: 0.10083926638674516 per second
[2025-03-07 18:36:33.271837] [2130] [info] Source path: /usr/bin/ps, amount: 177, rate: 0.0499999986368362 per second
[2025-03-07 18:36:33.271838] [2130] [info] Source path: /usr/bin/ssm-agent-worker, amount: 124, rate: 0.03643627124161835 per second
[2025-03-07 18:36:33.271839] [2130] [info] Source path: /usr/bin/hostname, amount: 120, rate: 0.03636363245099766 per second
[2025-03-07 18:36:33.271840] [2130] [info] Source path: /usr/bin/amazon-ssm-agent, amount: 69, rate: 0.01949153902595989 per second
[2025-03-07 18:36:33.271841] [2130] [info] Source path: /usr/libexec/nm-cloud-setup, amount: 68, rate: 0.020610805647022 per second
[2025-03-07 18:36:33.271889] [2130] [info] Source path: /usr/bin/sed, amount: 63, rate: 0.019425225420717344 per second
[2025-03-07 18:36:33.271890] [2130] [info] Source path: /usr/lib/systemd/systemd-journald, amount: 56, rate: 0.015600406243707052 per second
[2025-03-07 18:36:33.271891] [2130] [info] Overall events:
[2025-03-07 18:36:33.271893] [2130] [info] Event type: user_login, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271894] [2130] [info] Event type: tcp_connect, amount: 144, rate: 0.040052848270028245 per second
[2025-03-07 18:36:33.271896] [2130] [info] Event type: python_exec, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271897] [2130] [info] Event type: ransomware_verdict, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271898] [2130] [info] Event type: fork, amount: 217, rate: 0.060411224409026555 per second
[2025-03-07 18:36:33.271899] [2130] [info] Event type: shell_command, amount: 31, rate: 0.00955844978655247 per second
[2025-03-07 18:36:33.271900] [2130] [info] Event type: pam_modification, amount: 0, rate: 0 per second
