[2025-03-03 17:36:33.272133] [11044] [info] Event type: python27_script_content, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272134] [11044] [info] Event type: elf_scan, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272136] [11044] [info] Event type: piped_execv, amount: 1, rate: inf per second
[2025-03-03 17:36:33.272137] [11044] [info] Event type: smb_connect, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272138] [11044] [info] Event type: bash_set_signal, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272139] [11044] [info] Event type: file_delete, amount: 26, rate: 0.007243078641029601 per second
[2025-03-03 17:36:33.272140] [11044] [info] Event type: umount, amount: 156, rate: 0.04728394993908213 per second
[2025-03-03 17:36:33.272141] [11044] [info] Event type: disarm_kprobes, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272141] [11044] [info] Event type: pam_login, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272142] [11044] [info] Event type: file_chown, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272143] [11044] [info] Event type: setuid_root, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272144] [11044] [info] Event type: ransomware_fs_activity, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272145] [11044] [info] Event type: chdir, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272146] [11044] [info] Event type: shell_unset_env, amount: 82, rate: 0.025103854201042552 per second
[2025-03-03 17:36:33.272147] [11044] [info] Event type: system_call_hook, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272148] [11044] [info] Event type: file_scanned, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272155] [11044] [info] Event type: kernel_module_load, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272156] [11044] [info] Event type: agent_kill_attempt, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272157] [11044] [info] Event type: file_close_write, amount: 1147, rate: 0.3186798674397588 per second
[2025-03-03 17:36:33.272158] [11044] [info] Event type: unshare, amount: 36, rate: 0.010911661068985185 per second
[2025-03-03 17:36:33.272159] [11044] [info] Event type: dns, amount: 108, rate: 0.03188473718636078 per second
[2025-03-03 17:36:33.272159] [11044] [info] Event type: local_brute_force_attempt, amount: 0, rate: 0 per second
[2025-03-03 17:36:33.272161] [11044] [info] Overall amount: 4484, rate: 1.2458204302234765 per second
[2025-03-03 18:36:33.271698] [2130] [info] --- Events Metadata ---
[2025-03-03 18:36:33.271751] [2130] [info] Top events by path:
[2025-03-03 18:36:33.271844] [2130] [info] Destination path: /var/ossec/var/run/, amount: 2940, rate: -1.689021703912119e-06 per second
[2025-03-03 18:36:33.271847] [2130] [info] Destination path: /var/ossec/var/, amount: 2940, rate: -1.689021703912119e-06 per second
[2025-03-03 18:36:33.271848] [2130] [info] Destination path: /var/ossec/var/run/wazuh-agentd.state.temp, amount: 2160, rate: 0.6008008326260591 per second
[2025-03-03 18:36:33.271850] [2130] [info] Destination path: /var/ossec/var/run/wazuh-agentd.state, amount: 720, rate: 0.2002618703774421 per second
[2025-03-03 18:36:33.271851] [2130] [info] Destination path: /sys/fs/cgroup/, amount: 225, rate: 0.06819767459978167 per second
[2025-03-03 18:36:33.271852] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/, amount: 225, rate: 0.06819767459978167 per second
[2025-03-03 18:36:33.271853] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/, amount: 180, rate: 0.054558139679825327 per second
[2025-03-03 18:36:33.271855] [2130] [info] Destination path: /run/systemd/journal/streams/, amount: 75, rate: 0.020893369934485012 per second
[2025-03-03 18:36:33.271856] [2130] [info] Destination path: /run/systemd/journal/, amount: 75, rate: 0.020893369934485012 per second
[2025-03-03 18:36:33.271857] [2130] [info] Destination path: /var/ossec/var/run/wazuh-logcollector.state, amount: 60, rate: 0.016949151223518248 per second
[2025-03-03 18:36:33.271858] [2130] [info] Destination path: /sys/devices/system/cpu/online, amount: 59, rate: 0.01666666337265602 per second
[2025-03-03 18:36:33.271859] [2130] [info] Destination path: /sys/devices/system/, amount: 59, rate: 0.01666666337265602 per second
[2025-03-03 18:36:33.271860] [2130] [info] Destination path: /sys/devices/system/cpu/, amount: 59, rate: 0.01666666337265602 per second
[2025-03-03 18:36:33.271861] [2130] [info] Destination path: /var/ossec/queue/logcollector/file_status.json, amount: 56, rate: 0.015905475882456537 per second
[2025-03-03 18:36:33.271862] [2130] [info] Destination path: /var/ossec/queue/logcollector/, amount: 56, rate: 0.015905475882456537 per second
[2025-03-03 18:36:33.271863] [2130] [info] Destination path: /etc/passwd, amount: 41, rate: 0.012564176715388677 per second
[2025-03-03 18:36:33.271864] [2130] [info] Destination path: /var/ossec/logs/ossec.log, amount: 39, rate: 0.01089385426016918 per second
[2025-03-03 18:36:33.271865] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/cgroup.procs, amount: 24, rate: 0.007274449487656852 per second
[2025-03-03 18:36:33.271866] [2130] [info] Destination path: /etc/hosts, amount: 14, rate: 0.00424242340253754 per second
[2025-03-03 18:36:33.271867] [2130] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/cpu.idle, amount: 12, rate: 0.0036372214736638516 per second
[2025-03-03 18:36:33.271869] [2130] [info] Top binaries:
[2025-03-03 18:36:33.271879] [2130] [info] Source path: /var/ossec/bin/wazuh-agentd, amount: 2199, rate: 0.6116486254373629 per second
[2025-03-03 18:36:33.271880] [2130] [info] Source path: /usr/lib/systemd/systemd, amount: 816, rate: 0.2473283341362674 per second
[2025-03-03 18:36:33.271881] [2130] [info] Source path: /usr/bin/bash, amount: 331, rate: 0.10143241307609646 per second
[2025-03-03 18:36:33.271882] [2130] [info] Source path: /usr/bin/ps, amount: 177, rate: 0.0499999844230557 per second
[2025-03-03 18:36:33.271883] [2130] [info] Source path: /usr/bin/ssm-agent-worker, amount: 124, rate: 0.036695048439224165 per second
[2025-03-03 18:36:33.271884] [2130] [info] Source path: /usr/bin/hostname, amount: 120, rate: 0.03636361858328142 per second
[2025-03-03 18:36:33.271885] [2130] [info] Source path: /usr/libexec/nm-cloud-setup, amount: 70, rate: 0.02121720698352754 per second
[2025-03-03 18:36:33.271886] [2130] [info] Source path: /usr/bin/amazon-ssm-agent, amount: 69, rate: 0.019491525380032557 per second
[2025-03-03 18:36:33.271938] [2130] [info] Source path: /usr/bin/sed, amount: 63, rate: 0.019425422079632156 per second
[2025-03-03 18:36:33.271939] [2130] [info] Source path: /usr/lib/systemd/systemd-journald, amount: 60, rate: 0.01671469594758801 per second
