[2025-02-27 17:07:51.531863] [1535] [info] Event type: mount, amount: 434, rate: 0.12193057687192325 per second
[2025-02-27 17:07:51.531864] [1535] [info] Event type: software_packing, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531866] [1535] [info] Event type: invalid, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531868] [1535] [info] Event type: user_login_attempt, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531869] [1535] [info] Event type: file_chmod, amount: 130, rate: 0.04127121247487648 per second
[2025-02-27 17:07:51.531871] [1535] [info] Event type: cron_modification, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531872] [1535] [info] Event type: ransomware_decoy, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531873] [1535] [info] Event type: exit, amount: 1070, rate: 0.3007051157408898 per second
[2025-02-27 17:07:51.531875] [1535] [info] Event type: shell_set_env, amount: 97, rate: 0.027251795988122194 per second
[2025-02-27 17:07:51.531884] [1535] [info] Event type: socket_filter_attachment, amount: 1, rate: inf per second
[2025-02-27 17:07:51.531886] [1535] [info] Event type: file_move, amount: 849, rate: 0.23852181518550128 per second
[2025-02-27 17:07:51.531887] [1535] [info] Event type: readdir, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531889] [1535] [info] Event type: chroot, amount: 15, rate: 0.004219214720916191 per second
[2025-02-27 17:07:51.531890] [1535] [info] Event type: file_open_inline, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531892] [1535] [info] Event type: setns, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531893] [1535] [info] Event type: unauthorized_splice, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531903] [1535] [info] Event type: remote_brute_force_access, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531905] [1535] [info] Event type: tcp_accept, amount: 1, rate: inf per second
[2025-02-27 17:07:51.531906] [1535] [info] Event type: python27_script_content, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531907] [1535] [info] Event type: elf_scan, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531909] [1535] [info] Event type: piped_execv, amount: 55, rate: 0.017460940754395537 per second
[2025-02-27 17:07:51.531910] [1535] [info] Event type: smb_connect, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531912] [1535] [info] Event type: bash_set_signal, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531914] [1535] [info] Event type: file_delete, amount: 145, rate: 0.040736793832278746 per second
[2025-02-27 17:07:51.531915] [1535] [info] Event type: umount, amount: 169, rate: 0.047479929002476814 per second
[2025-02-27 17:07:51.531916] [1535] [info] Event type: disarm_kprobes, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531918] [1535] [info] Event type: pam_login, amount: 2, rate: 0.004348053331498526 per second
[2025-02-27 17:07:51.531919] [1535] [info] Event type: file_chown, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531921] [1535] [info] Event type: setuid_root, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531922] [1535] [info] Event type: ransomware_fs_activity, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531924] [1535] [info] Event type: chdir, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531925] [1535] [info] Event type: shell_unset_env, amount: 158, rate: 0.044389799574371766 per second
[2025-02-27 17:07:51.531926] [1535] [info] Event type: system_call_hook, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531927] [1535] [info] Event type: file_scanned, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531929] [1535] [info] Event type: kernel_module_load, amount: 1, rate: inf per second
[2025-02-27 17:07:51.531930] [1535] [info] Event type: agent_kill_attempt, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531932] [1535] [info] Event type: file_close_write, amount: 1770, rate: 0.49727572474149856 per second
[2025-02-27 17:07:51.531934] [1535] [info] Event type: unshare, amount: 43, rate: 0.0120950727032173 per second
[2025-02-27 17:07:51.531935] [1535] [info] Event type: dns, amount: 172, rate: 0.048939040451950154 per second
[2025-02-27 17:07:51.531937] [1535] [info] Event type: local_brute_force_attempt, amount: 0, rate: 0 per second
[2025-02-27 17:07:51.531938] [1535] [info] Overall amount: 8918, rate: 2.5037734022943474 per second
[2025-02-27 18:07:51.531453] [832] [info] --- Events Metadata ---
[2025-02-27 18:07:51.531529] [832] [info] Top events by path:
[2025-02-27 18:07:51.551282] [832] [info] Destination path: /var/lib/selinux/, amount: 26339, rate: 307.7768634285472 per second
[2025-02-27 18:07:51.551291] [832] [info] Destination path: /var/lib/selinux/targeted/, amount: 26243, rate: 306.65508284123786 per second
[2025-02-27 18:07:51.551293] [832] [info] Destination path: /var/lib/selinux/targeted/tmp/, amount: 22299, rate: 261.4099541547839 per second
[2025-02-27 18:07:51.551294] [832] [info] Destination path: /var/lib/selinux/targeted/tmp/modules/, amount: 22070, rate: 286.672652510113 per second
[2025-02-27 18:07:51.551296] [832] [info] Destination path: /var/lib/selinux/targeted/tmp/modules/100/, amount: 21964, rate: -1.2618321273666694e-05 per second
[2025-02-27 18:07:51.551297] [832] [info] Destination path: /root/aws/dist/, amount: 20436, rate: 1711.920943293812 per second
[2025-02-27 18:07:51.551298] [832] [info] Destination path: /root/aws/dist/awscli/, amount: 20028, rate: 3329.5846567972394 per second
[2025-02-27 18:07:51.551300] [832] [info] Destination path: /usr/lib/python3.9/, amount: 19890, rate: 192.36525776544994 per second
[2025-02-27 18:07:51.551301] [832] [info] Destination path: /usr/lib/python3.9/site-packages/, amount: 19890, rate: 192.36525776544994 per second
[2025-02-27 18:07:51.551302] [832] [info] Destination path: /usr/lib/firmware/, amount: 16373, rate: 164.983125023355 per second
[2025-02-27 18:07:51.551303] [832] [info] Destination path: /var/ossec/var/run/wazuh-agentd.state.temp, amount: 2160, rate: 0.6008008045619614 per second
[2025-02-27 18:07:51.551305] [832] [info] Destination path: /var/lib/rsyslog/imjournal.state, amount: 756, rate: 4.3432120949712346e-07 per second
[2025-02-27 18:07:51.551306] [832] [info] Destination path: /var/lib/rsyslog/imjournal.state.tmp, amount: 756, rate: 0.21326987470857905 per second
[2025-02-27 18:07:51.551307] [832] [info] Destination path: /var/ossec/var/run/wazuh-agentd.state, amount: 720, rate: 0.20026262988456195 per second
[2025-02-27 18:07:51.551308] [832] [info] Destination path: /etc/passwd, amount: 521, rate: 0.14517266932812947 per second
[2025-02-27 18:07:51.551310] [832] [info] Destination path: /var/lib/rpm/rpmdb.sqlite-shm, amount: 264, rate: 0.2294837502800097 per second
[2025-02-27 18:07:51.551311] [832] [info] Destination path: /proc/cpuinfo, amount: 249, rate: 0.6349232376177869 per second
[2025-02-27 18:07:51.551312] [832] [info] Destination path: /var/lib/certmonger/cas/20250227093513-3.tmp, amount: 219, rate: 7.069193538013698 per second
[2025-02-27 18:07:51.551313] [832] [info] Destination path: /var/lib/certmonger/cas/20250227093513-2.tmp, amount: 186, rate: 6.004573628723357 per second
[2025-02-27 18:07:51.551315] [832] [info] Destination path: /proc/stat, amount: 177, rate: 0.10055599849728286 per second
[2025-02-27 18:07:51.551316] [832] [info] Top binaries:
[2025-02-27 18:07:51.551371] [832] [info] Source path: /usr/bin/python3.9, amount: 87935, rate: 67.06449822703202 per second
[2025-02-27 18:07:51.551373] [832] [info] Source path: /usr/bin/bash, amount: 32991, rate: 9.192679851312096 per second
[2025-02-27 18:07:51.551374] [832] [info] Source path: /usr/sbin/semodule, amount: 21134, rate: 246.88216077420125 per second
[2025-02-27 18:07:51.551375] [832] [info] Source path: /usr/bin/unzip, amount: 20447, rate: 1712.0461374146537 per second
[2025-02-27 18:07:51.551376] [832] [info] Source path: /usr/bin/mandb, amount: 13834, rate: 1574.6017833228188 per second
[2025-02-27 18:07:51.551377] [832] [info] Source path: /usr/lib/systemd/systemd, amount: 10838, rate: 3.1697319870917147 per second
[2025-02-27 18:07:51.551379] [832] [info] Source path: /usr/bin/rm, amount: 4718, rate: 1.5772756273609483 per second
[2025-02-27 18:07:51.551380] [832] [info] Source path: /usr/bin/dirname, amount: 4510, rate: 36.50887182254704 per second
[2025-02-27 18:07:51.551381] [832] [info] Source path: /usr/lib/dracut/dracut-install, amount: 2991, rate: 149.58915262710937 per second
[2025-02-27 18:07:51.551432] [832] [info] Source path: /usr/bin/sed, amount: 2982, rate: 0.9194603312700873 per second
[2025-02-27 18:07:51.551433] [832] [info] Overall events:
[2025-02-27 18:07:51.551435] [832] [info] Event type: user_login, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551436] [832] [info] Event type: tcp_connect, amount: 223, rate: 0.062040375576833263 per second
[2025-02-27 18:07:51.551437] [832] [info] Event type: python_exec, amount: 283, rate: 0.21609583749709135 per second
[2025-02-27 18:07:51.551439] [832] [info] Event type: ransomware_verdict, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551440] [832] [info] Event type: fork, amount: 29584, rate: 8.228676234484942 per second
[2025-02-27 18:07:51.551441] [832] [info] Event type: shell_command, amount: 64, rate: 0.029553045938188364 per second
[2025-02-27 18:07:51.551442] [832] [info] Event type: pam_modification, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551443] [832] [info] Event type: file_read, amount: 1195, rate: 0.3323848624826519 per second
[2025-02-27 18:07:51.551444] [832] [info] Event type: pivot_root, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551446] [832] [info] Event type: memory_dump, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551447] [832] [info] Event type: user_modify, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551448] [832] [info] Event type: file_chattr, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551449] [832] [info] Event type: commit_creds_pe, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551450] [832] [info] Event type: remote_brute_force_attempt, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551451] [832] [info] Event type: kill, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551452] [832] [info] Event type: python27_readline, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551453] [832] [info] Event type: agent_start, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551454] [832] [info] Event type: execv, amount: 13329, rate: 3.7074105218524718 per second
[2025-02-27 18:07:51.551455] [832] [info] Event type: memory_protection, amount: 0, rate: 0 per second
[2025-02-27 18:07:51.551456] [832] [info] Event type: finit_module, amount: 0, rate: 0 per second
